Altium Designer Pick and Place Locations
C:\Repos\QUTMS_MCISO\hardware\Project Outputs for QUTMS_MCISO-V01\Pick Place for MCISO-P01-V06-NewMicro.csv

========================================================================================================================
File Design Information:

Date:       13/05/21
Time:       00:24
Revision:   2652e49b4b62d930b57cb354a7c17f82eb18a5af
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R34","10k 5% 0603","BottomLayer","Res_ThinFilm_0603","-39.3371","10.5240","270","Resistor, SMD, 10k, 0.1W, 5%, 0603"
"R33","10k 5% 0603","BottomLayer","Res_ThinFilm_0603","-40.8624","10.5240","270","Resistor, SMD, 10k, 0.1W, 5%, 0603"
"R32","10k 5% 0603","BottomLayer","Res_ThinFilm_0603","-42.3885","10.5240","270","Resistor, SMD, 10k, 0.1W, 5%, 0603"
"R31","10k 5% 0603","BottomLayer","Res_ThinFilm_0603","-43.9060","10.5240","270","Resistor, SMD, 10k, 0.1W, 5%, 0603"
"R30","10k 5% 0603","BottomLayer","Res_ThinFilm_0603","-45.4408","10.5240","270","Resistor, SMD, 10k, 0.1W, 5%, 0603"
"U1","STM32F207VGT7","TopLayer","STM-LQFP100_N","-47.3109","42.0761","270","ARM Cortex-M3 32-bit MCU, 1024 KB Flash, 128 KB Internal RAM, 82 I/Os, 100-pin LQFP, -40 to 105 degC, Tray"
"R23_B","120R 1% 1210","BottomLayer","Res_ThinFilm_1210","-20.8984","80.1359","180","Resistor, SMD, 120R, 0.25W, 1%, 1210"
"R23_A","120R 1% 1210","BottomLayer","Res_ThinFilm_1210","-12.9910","30.1193","0","Resistor, SMD, 120R, 0.25W, 1%, 1210"
"R20_B","120R 1% 1210","BottomLayer","Res_ThinFilm_1210","-19.5705","85.5128","180","Resistor, SMD, 120R, 0.25W, 1%, 1210"
"R20_A","120R 1% 1210","BottomLayer","Res_ThinFilm_1210","-14.3665","22.4994","0","Resistor, SMD, 120R, 0.25W, 1%, 1210"
"R19_B","120R 1% 1210","BottomLayer","Res_ThinFilm_1210","-13.2564","85.5223","0","Resistor, SMD, 120R, 0.25W, 1%, 1210"
"R19_A","120R 1% 1210","BottomLayer","Res_ThinFilm_1210","-20.7764","22.5987","180","Resistor, SMD, 120R, 0.25W, 1%, 1210"
"C24","100nF","TopLayer","Cap_Ceramic_0603","-49.6109","51.8261","0","Capacitor, Ceramic, SMD, 100nF, 50V, 5%, X7R, 0603"
"J16","Jumper 2Way Solderable","TopLayer","Jumper_2Way_Solderable","-33.3782","53.8232","90","Jumper 2Way Side Solderable"
"D2","NUP2105L","TopLayer","NUP2105L","-19.9109","42.3261","270","NUP2105L"
"R8","15k 5% 0603","TopLayer","Res_ThinFilm_0603","-53.4109","30.6195","90","Resistor, SMD, 15k, 0.1W, 5%, 0603"
"R7","10k 5% 0603","TopLayer","Res_ThinFilm_0603","-51.9109","30.6261","270","Resistor, SMD, 10k, 0.1W, 5%, 0603"
"R6","22R","TopLayer","Res_ThinFilm_0603","-50.4109","30.6195","90","Resistor, SMD, 22R, 0.1W, 1%, 0603"
"R5","22R","TopLayer","Res_ThinFilm_0603","-48.9109","30.6261","90","Resistor, SMD, 22R, 0.1W, 1%, 0603"
"LOGO1","50mm Wide QUTMS Logo","TopLayer","QUTMS_LOGO_10MM","-101.8109","-42.5739","0","50mm Wide QUTMS Logo"
"J15","JST PH 4x RIGHT COMB","TopLayer","JST_PH_4x_RIGHT_COMB","-55.0569","20.1261","90",""
"J10","JST PH 4x RIGHT COMB","TopLayer","JST_PH_4x_RIGHT_COMB","-55.1569","72.3261","90",""
"FID3","Fiducial 1MM","TopLayer","FIDUCIAL_1MM","-11.2528","4.3083","0","Fiducial 1MM"
